name,area,totalRatingsString,deliveryTime,minDeliveryTime,maxDeliveryTime,costForTwoString+
Hangout Cakes & More, Borivali West,100+ ratings, 19,19,19,₹150 FOR TWO
Grand Maratha, Borivali East,20+ ratings, 36,36,36,₹600 FOR TWO
The Pastelworks Co., Kandivali East,Too Few Ratings, 29,29,29,₹450 FOR TWO
Vividh NX, Kandivali East,20+ ratings, 29,29,29,₹500 FOR TWO
Ice Cap The Cake Shop, Malad Kan East,Too Few Ratings, 33,33,33,₹200 FOR TWO
Sanjay Icecreams, Malad Kan East,Too Few Ratings, 22,22,22,₹200 FOR TWO
Munchies's  Thakur Complex, Malad Kan East,Too Few Ratings, 31,31,31,₹350 FOR TWO
FOOD OF JOY, Malad Kan East,Too Few Ratings, 32,32,32,₹500 FOR TWO
Subday  Thakur Complex, Malad Kan East,Too Few Ratings, 32,32,32,₹300 FOR TWO
Shri Mauli Devi, Kandivali, Malad East,Too Few Ratings, 33,33,33,₹250 FOR TWO
Tea Post, Opp. Kalyan Jewellers,100+ ratings, 26,26,26,₹200 FOR TWO
Mahakali Fast Food & Juice Centre, Borivali West,100+ ratings, 25,25,25,₹300 FOR TWO
Sonu's Chinese Corner, Mahatma Gandhi Road,100+ ratings, 21,21,21,₹150 FOR TWO
Subday  Thakur Complex, Malad Kan East,Too Few Ratings, 32,32,32,₹300 FOR TWO
Shri Mauli Devi, Kandivali, Malad East,Too Few Ratings, 33,33,33,₹250 FOR TWO
Tea Post, Opp. Kalyan Jewellers,100+ ratings, 27,27,27,₹200 FOR TWO
Mahakali Fast Food & Juice Centre, Borivali West,100+ ratings, 26,26,26,₹300 FOR TWO
Sonu's Chinese Corner, Mahatma Gandhi Road,100+ ratings, 21,21,21,₹150 FOR TWO
Balli malai, Malad Kan East,Too Few Ratings, 26,26,26,₹269 FOR TWO
Chinese Express and rolls, Malad Kan East,Too Few Ratings, 34,34,34,₹300 FOR TWO
DRINX EXCHANGE, Malad Kan East,Too Few Ratings, 28,28,28,₹1500 FOR TWO
Purshottam Kandoi Haribhai Damodar Mithaiwala, Borivali,100+ ratings, 25,25,25,₹300 FOR TWO
Cheelizza - India ka Pizza, Kandivali West,1000+ ratings, 32,32,32,₹500 FOR TWO
BANGALORE IYENGAR BAKERY, Kandivali, Malad East,20+ ratings, 24,24,24,₹150 FOR TWO
MONOPOLY BORIVALI, Borivali West,100+ ratings, 31,31,31,₹350 FOR TWO
Aromas Cafe & Bistro, Malad Kan East,20+ ratings, 36,36,36,₹1000 FOR TWO
Pop Tate's, Kandivali East,20+ ratings, 30,30,30,₹600 FOR TWO
Borivali Biryani Centre (BBC) Korakendra Road, Borivali West,1000+ ratings, 24,24,24,₹600 FOR TWO
Maruti Pav Bhaji, Borivali West,20+ ratings, 29,29,29,₹150 FOR TWO
Akkad Bakkad Bombay Boom, Kandivali, Malad East,Too Few Ratings, 27,27,27,₹200 FOR TWO
Amar Juice Centre, Borivali West,500+ ratings, 30,30,30,₹450 FOR TWO
The Cafe Biryani, Malad Kan East,Too Few Ratings, 28,28,28,₹500 FOR TWO
Sanjay Pure Veg, Nanak Nagar,100+ ratings, 26,26,26,₹400 FOR TWO
Jumboking Indian Burger, Malad Kan East,Too Few Ratings, 25,25,25,₹200 FOR TWO
ABs Biryani Company, Malad Kan East,20+ ratings, 35,35,35,₹250 FOR TWO
Juice Experiment, Malad Kan East,Too Few Ratings, 33,33,33,₹199 FOR TWO
JUICE BOX INDIA, Malad Kan East,Too Few Ratings, 29,29,29,₹250 FOR TWO
Roti and Grill Family Restaurant, Malad Kan East,Too Few Ratings, 32,32,32,₹400 FOR TWO
The Churro Co, Kandivali East,Too Few Ratings, 34,34,34,₹400 FOR TWO
Cafe Tatva, Kandivali East,Too Few Ratings, 42,42,42,₹400 FOR TWO
Khichadi Pot, Malad Kan East,Too Few Ratings, 33,33,33,₹300 FOR TWO
Dum Safar Biryani, GROWELS MALL,Too Few Ratings, 41,41,41,₹500 FOR TWO
Third Wave Coffee, Borivali,50+ ratings, 26,26,26,₹400 FOR TWO
Jain Dughdalay, Borivali,50+ ratings, 22,22,22,₹400 FOR TWO
Malgudi, Kandivali East,20+ ratings, 28,28,28,₹200 FOR TWO
kumar's cafe, Borivali,Too Few Ratings, 29,29,29,₹200 FOR TWO
Waffle Cart, Borivali,Too Few Ratings, 32,32,32,₹300 FOR TWO
Wedeshi Canteen, BORIVALI EAST,Too Few Ratings, 33,33,33,₹300 FOR TWO
Anand dairy farm, Borivali,Too Few Ratings, 26,26,26,₹200 FOR TWO
PVR Cafe, Kandivali East,Too Few Ratings, 24,24,24,₹300 FOR TWO
Maa Anjani Pav Bhaji Centre, Borivali West,100+ ratings, 29,29,29,₹300 FOR TWO
Jain Sweets (Kandivali East), Dattani Centre,50+ ratings, 25,25,25,₹200 FOR TWO
Dwaraka, Borivali,100+ ratings, 30,30,30,₹350 FOR TWO
Shree mithai	, Borivali,Too Few Ratings, 29,29,29,₹300 FOR TWO
Bake Ur Day, Borivali,50+ ratings, 29,29,29,₹350 FOR TWO
